,minimum,maximum,median,mean,std,25% quantile,40% quantile,50% quantile,60% quantile,75% quantile
51,0.0,1.0,0.0,0.33839733595626137,0.46441169550134864,0.0,0.0,0.0,0.0,1.0
52,0.0,1.0,0.0,0.3393295762165477,0.4640113862010791,0.0,0.0,0.0,0.0,1.0
53,0.0,1.0,0.0,0.3419736711525029,0.46292819790295736,0.0,0.0,0.0,0.0,1.0
54,0.0,1.0,0.0,0.3339360675733246,0.4658228750975721,0.0,0.0,0.0,0.0,1.0
55,0.0,1.0,0.0,0.3299521099320016,0.46790781955466393,0.0,0.0,0.0,0.0,1.0
56,0.0,1.0,0.0,0.3308270676691729,0.4675050482020584,0.0,0.0,0.0,0.0,1.0
57,0.0,1.0,0.0,0.3308270676691729,0.4675050482020584,0.0,0.0,0.0,0.0,1.0
58,0.0,1.0,0.0,0.3297506582399457,0.467865891264283,0.0,0.0,0.0,0.0,1.0
59,0.0,1.0,0.0,0.32971475242568393,0.467955572273525,0.0,0.0,0.0,0.0,1.0
60,0.0,1.0,0.0,0.32800751879699247,0.4687362789368751,0.0,0.0,0.0,0.0,1.0
61,0.0,1.0,0.0,0.33136969010262185,0.4677070588438023,0.0,0.0,0.0,0.0,1.0
62,0.0,1.0,0.0,0.33626612412632795,0.4655638035420771,0.0,0.0,0.0,0.0,1.0
63,0.0,1.0,0.0,0.33853708207552624,0.46395447532155515,0.0,0.0,0.0,0.0,1.0
64,0.0,1.0,0.0,0.3306295623998071,0.4674167902704084,0.0,0.0,0.0,0.0,1.0
65,0.0,1.0,0.0,0.335927069015706,0.4651645467649507,0.0,0.0,0.0,0.0,1.0
66,0.0,1.0,0.0,0.3377345914012869,0.46424080234198495,0.0,0.0,0.0,0.0,1.0
67,0.0,1.0,0.0,0.34393655224794356,0.4614097029840983,0.0,0.0,0.0,0.10206207261596578,1.0
68,0.0,1.0,0.0,0.339680086092525,0.46414312730120943,0.0,0.0,0.0,0.0,1.0
69,0.0,1.0,0.0,0.332479575178434,0.4667749267775499,0.0,0.0,0.0,0.0,1.0
70,0.0,1.0,0.0,0.32800751879699247,0.4687362789368751,0.0,0.0,0.0,0.0,1.0
71,0.0,1.0,0.0,0.33136969010262185,0.4677070588438023,0.0,0.0,0.0,0.0,1.0
72,0.0,1.0,0.0,0.3439919002600368,0.4625872600925767,0.0,0.0,0.0,0.0,1.0
73,0.0,1.0,0.0,0.3389405731615483,0.46332061998082075,0.0,0.0,0.0,0.0,1.0
74,0.0,1.0,0.0,0.3400255226225686,0.4638394711458028,0.0,0.0,0.0,0.0,1.0
75,0.0,1.0,0.0,0.33849125990449175,0.46410042643310245,0.0,0.0,0.0,0.0,1.0
